repository,stars,creation_date,last_update_date,primary_language,total_releases,accepted_pull_requests,total_issues,closed_issues,repository_age_days,days_since_last_update,closed_issues_ratio
pi-hole/pi-hole,53035,2014-06-08 15:02:55+00:00,2025-08-20 16:43:27+00:00,Shell,118,2106,3082,3043,4094,3,0.9873458792991564
withastro/astro,52982,2021-03-15 17:19:47+00:00,2025-08-23 09:50:01+00:00,TypeScript,1000,7328,5568,5420,1622,0,0.9734195402298851
PaddlePaddle/PaddleOCR,52934,2020-05-08 10:38:16+00:00,2025-08-22 07:00:54+00:00,Python,24,2961,9902,9764,1933,1,0.9860634215310038
meilisearch/meilisearch,52897,2018-04-23 11:45:28+00:00,2025-08-21 15:58:12+00:00,Rust,266,2148,2308,2097,2679,2,0.908578856152513
FFmpeg/FFmpeg,52493,2011-04-14 14:12:38+00:00,2025-08-23 03:13:47+00:00,C,0,16,0,0,5245,0,0.0
appwrite/appwrite,52425,2019-04-08 16:36:25+00:00,2025-08-23 10:52:28+00:00,TypeScript,112,3847,4090,3463,2329,0,0.8466992665036674
rclone/rclone,52218,2014-03-16 16:19:57+00:00,2025-08-23 15:30:33+00:00,Go,115,2119,5791,4819,4178,0,0.8321533413918148
rust-unofficial/awesome-rust,52205,2014-07-17 10:45:10+00:00,2025-08-23 10:34:03+00:00,Rust,0,1570,142,132,4055,0,0.9295774647887324
tiimgreen/github-cheat-sheet,52138,2014-04-12 16:38:42+00:00,2024-04-15 20:15:56+00:00,N/A,0,129,71,48,4151,495,0.676056338028169
google/material-design-icons,52000,2014-10-08 18:01:28+00:00,2025-08-15 03:42:17+00:00,N/A,16,50,1531,1159,3972,8,0.7570215545395167
ionic-team/ionic-framework,51997,2013-08-20 23:06:02+00:00,2025-08-22 21:53:15+00:00,TypeScript,914,6304,22058,21482,4385,0,0.9738870251156043
wagoodman/dive,51792,2018-05-13 15:44:01+00:00,2025-08-21 14:42:08+00:00,Go,28,164,359,202,2659,2,0.5626740947075209
mozilla/pdf.js,51657,2011-04-26 06:32:03+00:00,2025-08-23 19:27:35+00:00,JavaScript,76,8093,10277,9873,5233,0,0.9606889169991243
facebookresearch/segment-anything,51620,2023-03-23 17:03:03+00:00,2024-09-18 17:46:55+00:00,Jupyter Notebook,0,15,703,178,884,339,0.2532005689900427
unclecode/crawl4ai,51449,2024-05-09 09:48:50+00:00,2025-08-22 04:05:28+00:00,Python,8,89,796,648,471,1,0.8140703517587939
vuejs/core,51380,2018-06-12 13:49:36+00:00,2025-08-23 13:32:54+00:00,TypeScript,246,3236,5776,5105,2629,0,0.8838296398891967
firecrawl/firecrawl,51353,2024-04-15 21:02:29+00:00,2025-08-23 18:56:18+00:00,TypeScript,23,820,681,533,494,0,0.7826725403817915
sickcodes/Docker-OSX,51230,2020-06-04 11:01:37+00:00,2025-06-06 10:08:10+00:00,Shell,0,107,667,282,1906,78,0.42278860569715143
Semantic-Org/Semantic-UI,51193,2013-04-08 23:32:04+00:00,2024-11-27 21:01:48+00:00,JavaScript,154,355,6235,5268,4519,268,0.8449077786688052
JetBrains/kotlin,51139,2012-02-13 17:29:58+00:00,2025-08-23 20:08:22+00:00,Kotlin,266,2064,0,0,4940,0,0.0
ngosang/trackerslist,51101,2016-04-24 11:57:57+00:00,2025-08-22 22:07:47+00:00,N/A,0,1,485,479,3408,0,0.9876288659793815
OpenBB-finance/OpenBB,51071,2020-12-20 10:46:38+00:00,2025-08-20 03:18:48+00:00,Python,46,4114,2245,2208,1707,3,0.9835189309576837
google/guava,51035,2014-05-29 16:23:17+00:00,2025-08-13 20:49:53+00:00,Java,56,1013,3620,2992,4104,9,0.8265193370165745
marktext/marktext,51027,2017-11-12 16:05:25+00:00,2024-08-18 21:21:46+00:00,JavaScript,36,939,2913,1637,2841,369,0.561963611397185
laurent22/joplin,50940,2017-01-16 21:49:41+00:00,2025-08-23 12:30:48+00:00,TypeScript,386,4411,7254,6709,3140,0,0.9248690377722636
prettier/prettier,50867,2016-11-29 17:13:37+00:00,2025-08-23 13:53:56+00:00,JavaScript,127,8876,6958,5736,3189,0,0.8243748203506754
starship/starship,50713,2019-04-02 03:23:12+00:00,2025-08-22 21:52:34+00:00,Rust,135,2901,2510,1774,2335,0,0.7067729083665338
romkatv/powerlevel10k,50629,2019-02-24 19:09:45+00:00,2025-04-29 13:00:59+00:00,Shell,33,167,2572,2466,2372,116,0.9587869362363919
jekyll/jekyll,50510,2008-10-20 06:29:03+00:00,2025-07-11 12:07:19+00:00,Ruby,112,3188,4897,4781,6151,43,0.9763120277721054
xai-org/grok-1,50407,2024-03-17 08:53:38+00:00,2024-08-30 04:17:25+00:00,Python,0,5,0,0,524,358,0.0
TryGhost/Ghost,50380,2013-05-04 11:09:13+00:00,2025-08-22 20:38:44+00:00,JavaScript,903,14280,7132,7066,4494,0,0.9907459338194055
go-gitea/gitea,50281,2016-11-01 02:13:26+00:00,2025-08-23 18:48:44+00:00,Go,216,17779,14900,12302,3217,0,0.8256375838926174
RVC-Boss/GPT-SoVITS,50274,2024-01-14 18:05:21+00:00,2025-08-02 09:47:15+00:00,Python,4,338,1893,1178,587,21,0.6222926571579503
DefinitelyTyped/DefinitelyTyped,50232,2012-10-05 16:39:45+00:00,2025-08-22 17:01:34+00:00,TypeScript,1,52119,8088,7521,4705,1,0.9298961424332344
WerWolv/ImHex,50217,2020-11-10 14:27:00+00:00,2025-08-23 18:56:37+00:00,C++,80,671,1418,1182,1747,0,0.8335684062059239
etcd-io/etcd,50131,2013-07-06 21:57:21+00:00,2025-08-22 15:33:51+00:00,Go,259,9795,7004,6822,4430,1,0.9740148486579098
pocketbase/pocketbase,50027,2022-07-05 06:06:21+00:00,2025-08-23 06:35:13+00:00,Go,221,54,1840,1821,1145,0,0.9896739130434783
firstcontributions/first-contributions,50008,2016-09-20 14:35:09+00:00,2025-08-23 19:38:35+00:00,N/A,0,86173,933,909,3259,0,0.9742765273311897
chinese-poetry/chinese-poetry,49962,2016-09-02 03:32:25+00:00,2025-04-02 09:42:19+00:00,JavaScript,1,137,211,92,3277,143,0.43601895734597157
jgthms/bulma,49909,2016-01-23 23:48:34+00:00,2025-06-27 16:28:35+00:00,CSS,22,642,2724,2394,3499,57,0.8788546255506607
vsouza/awesome-ios,49696,2014-07-10 16:03:45+00:00,2025-02-04 14:00:13+00:00,Swift,0,2233,488,486,4062,200,0.9959016393442623
cline/cline,49623,2024-07-06 07:28:10+00:00,2025-08-23 08:44:39+00:00,TypeScript,146,1668,2248,1749,413,0,0.7780249110320284
ethereum/go-ethereum,49610,2013-12-26 13:05:46+00:00,2025-08-22 17:44:11+00:00,Go,219,8252,8487,8283,4258,1,0.9759632378932485
poteto/hiring-without-whiteboards,49173,2017-03-15 05:09:01+00:00,2025-07-31 15:11:49+00:00,JavaScript,0,1300,0,0,3083,23,0.0
FoundationAgents/OpenManus,49169,2025-03-06 14:08:14+00:00,2025-08-18 13:56:34+00:00,Python,3,106,705,312,170,5,0.4425531914893617
microsoft/autogen,49023,2023-08-18 11:43:45+00:00,2025-08-20 06:43:11+00:00,Python,97,2499,2856,2463,736,3,0.8623949579831933
agalwood/Motrix,48963,2018-12-18 11:45:05+00:00,2024-07-11 12:09:20+00:00,JavaScript,21,192,1340,593,2440,408,0.4425373134328358
mastodon/mastodon,48891,2016-02-22 15:01:25+00:00,2025-08-23 04:27:55+00:00,Ruby,289,17716,12256,8234,3470,0,0.6718342036553525
cypress-io/cypress,48830,2015-03-04 00:46:28+00:00,2025-08-23 00:43:00+00:00,TypeScript,373,7372,15088,13780,3825,0,0.9133085896076352
justjavac/awesome-wechat-weapp,48767,2016-09-22 20:04:48+00:00,2025-02-20 04:45:43+00:00,N/A,0,277,0,0,3257,184,0.0
Asabeneh/30-Days-Of-Python,48716,2019-11-19 17:24:16+00:00,2025-06-04 21:49:56+00:00,Python,0,61,135,79,2104,79,0.5851851851851851
NARKOZ/hacker-scripts,48653,2015-11-21 19:05:09+00:00,2023-10-23 21:01:40+00:00,JavaScript,0,63,88,53,3563,669,0.6022727272727273
AlistGo/alist,48291,2020-12-23 17:40:29+00:00,2025-08-19 08:34:42+00:00,Go,137,860,4347,3799,1704,4,0.8739360478490913
dani-garcia/vaultwarden,48284,2018-02-17 22:40:20+00:00,2025-08-20 21:50:52+00:00,Rust,73,993,2364,2353,2743,2,0.995346869712352
ReactiveX/RxJava,48255,2013-01-08 20:11:48+00:00,2025-08-22 06:57:35+00:00,Java,241,3329,3171,3159,4610,1,0.9962157048249763
PowerShell/PowerShell,48252,2016-01-13 23:41:35+00:00,2025-08-22 07:41:09+00:00,C#,186,7550,13018,11918,3509,1,0.9155016131510216
Mintplex-Labs/anything-llm,48249,2023-06-04 02:29:14+00:00,2025-08-22 23:26:37+00:00,JavaScript,20,1072,2753,2494,811,0,0.9059208136578278
iamkun/dayjs,48158,2018-04-10 09:26:44+00:00,2025-08-20 04:48:02+00:00,JavaScript,119,694,1771,849,2692,3,0.47939017504234893
moment/moment,48090,2011-03-01 02:46:06+00:00,2024-08-14 17:12:19+00:00,JavaScript,0,714,4154,3911,5289,374,0.9415021665864227
Avik-Jain/100-Days-Of-ML-Code,48022,2018-07-05 09:11:43+00:00,2023-12-29 07:57:53+00:00,N/A,0,6,0,0,2606,603,0.0
charlax/professional-programming,47949,2015-11-07 05:07:52+00:00,2025-08-10 22:03:37+00:00,Python,0,39,29,29,3577,12,1.0
algorithm-visualizer/algorithm-visualizer,47658,2016-05-15 00:27:45+00:00,2024-06-09 06:54:22+00:00,JavaScript,0,183,118,76,3387,440,0.6440677966101694
TapXWorld/ChinaTextbook,47572,2020-01-05 04:11:06+00:00,2025-05-18 04:38:09+00:00,Roff,0,1,112,53,2057,97,0.4732142857142857
JuliaLang/julia,47531,2011-04-21 07:01:50+00:00,2025-08-23 20:01:16+00:00,Julia,181,25827,25364,21385,5238,0,0.8431241129159439
minimaxir/big-list-of-naughty-strings,47386,2015-08-08 20:57:20+00:00,2024-04-18 03:26:59+00:00,Python,0,90,101,32,3667,492,0.31683168316831684
huginn/huginn,47114,2013-03-10 06:00:31+00:00,2025-08-19 22:39:18+00:00,Ruby,1,1043,2170,1569,4549,3,0.7230414746543778
nlohmann/json,46942,2013-07-04 08:47:49+00:00,2025-08-22 16:23:18+00:00,C++,45,901,2339,2298,4433,1,0.9824711415134673
LadybirdBrowser/ladybird,46910,2024-05-30 09:18:10+00:00,2025-08-23 19:22:29+00:00,C++,0,4247,1143,641,450,0,0.5608048993875766
serverless/serverless,46841,2015-04-21 03:48:40+00:00,2025-08-21 21:50:45+00:00,JavaScript,454,4717,6518,5385,3777,1,0.8261736729057994
gogs/gogs,46802,2014-02-12 01:57:08+00:00,2025-08-04 01:57:30+00:00,Go,84,1766,5158,4223,4210,19,0.8187281892206282
karan/Projects,46763,2013-07-04 13:37:27+00:00,2024-08-14 19:06:05+00:00,N/A,0,19,83,35,4433,374,0.42168674698795183
kamranahmedse/design-patterns-for-humans,46751,2017-02-16 21:24:39+00:00,2024-12-02 04:54:48+00:00,N/A,0,50,52,47,3109,264,0.9038461538461539
x64dbg/x64dbg,46736,2015-04-11 20:48:23+00:00,2025-08-22 23:17:40+00:00,C++,4,744,2631,2025,3786,0,0.7696693272519954
square/okhttp,46605,2012-07-23 13:42:55+00:00,2025-08-22 08:13:00+00:00,Kotlin,0,3765,4182,4132,4779,1,0.9880439980870397
typescript-cheatsheets/react,46563,2018-06-02 04:08:16+00:00,2025-08-23 05:09:07+00:00,JavaScript,0,371,222,221,2639,0,0.9954954954954955
pandas-dev/pandas,46377,2010-08-24 01:37:33+00:00,2025-08-22 16:50:55+00:00,Python,112,26923,27669,24084,5478,1,0.8704326141168817
TanStack/query,46358,2019-09-10 19:23:58+00:00,2025-08-23 18:34:28+00:00,TypeScript,1000,2894,2167,2102,2174,0,0.9700046146746655
type-challenges/type-challenges,46322,2020-07-23 14:33:11+00:00,2025-08-22 13:08:56+00:00,TypeScript,0,588,36332,3846,1857,1,0.10585709567323572
v2ray/v2ray-core,46303,2015-09-04 11:42:53+00:00,2025-08-12 11:15:43+00:00,Go,247,203,2591,2583,3641,11,0.996912389038981
dkhamsing/open-source-ios-apps,46218,2015-01-26 23:32:34+00:00,2025-08-23 16:33:35+00:00,N/A,37,1412,310,310,3861,0,1.0
hashicorp/terraform,46212,2014-03-13 22:25:48+00:00,2025-08-23 11:46:33+00:00,Go,378,12789,21412,19676,4180,0,0.918923967868485
ziishaned/learn-regex,46067,2017-07-22 12:21:03+00:00,2025-03-27 03:50:12+00:00,N/A,0,131,87,35,2954,149,0.40229885057471265
lllyasviel/Fooocus,46064,2023-08-09 18:43:40+00:00,2025-01-24 10:55:35+00:00,Python,21,447,1611,1400,745,211,0.8690254500310366
slab/quill,45988,2012-07-30 23:23:18+00:00,2025-07-25 06:09:23+00:00,TypeScript,95,381,3775,3267,4771,29,0.8654304635761589
lyswhut/lx-music-desktop,45863,2019-08-14 14:31:08+00:00,2025-08-10 05:53:17+00:00,TypeScript,110,86,2193,1236,2201,13,0.5636114911080712
bigskysoftware/htmx,45761,2020-04-13 16:17:51+00:00,2025-08-02 14:24:24+00:00,JavaScript,26,956,1573,1005,1958,21,0.638906547997457
jesseduffield/lazydocker,45742,2019-05-18 08:53:50+00:00,2024-12-22 10:43:30+00:00,Go,42,186,362,190,2289,244,0.5248618784530387
pixijs/pixijs,45603,2013-01-21 22:40:50+00:00,2025-08-22 15:13:59+00:00,TypeScript,293,3684,5985,5750,4596,1,0.960735171261487
kelseyhightower/kubernetes-the-hard-way,45526,2016-07-07 14:15:27+00:00,2025-04-10 06:11:47+00:00,N/A,0,73,428,415,3334,135,0.969626168224299
brillout/awesome-react-components,45273,2016-06-24 15:19:33+00:00,2024-08-12 13:52:53+00:00,N/A,0,324,52,44,3347,376,0.8461538461538461
jakevdp/PythonDataScienceHandbook,45271,2016-08-10 14:24:36+00:00,2024-06-26 19:17:33+00:00,Jupyter Notebook,0,28,203,78,3300,423,0.3842364532019704
android/architecture-samples,45254,2016-02-05 13:42:07+00:00,2025-08-21 05:35:06+00:00,Kotlin,0,232,486,348,3487,2,0.7160493827160493
skylot/jadx,45207,2013-03-18 17:08:21+00:00,2025-08-12 08:52:56+00:00,Java,31,577,1918,1528,4541,11,0.7966631908237748
odoo/odoo,45200,2014-05-13 15:38:58+00:00,2025-08-23 19:41:07+00:00,Python,0,6181,18398,15108,4120,0,0.8211762148059571
typst/typst,45057,2019-09-24 21:41:56+00:00,2025-08-22 17:27:59+00:00,Rust,22,1828,3483,2576,2159,1,0.7395923054837783
jestjs/jest,44987,2013-12-10 00:18:04+00:00,2025-07-27 02:20:19+00:00,TypeScript,208,5701,8115,7863,4274,27,0.9689463955637708
dbeaver/dbeaver,44964,2015-10-21 08:26:28+00:00,2025-08-22 16:56:33+00:00,Java,230,6124,19369,16325,3594,1,0.8428416541896846
Asabeneh/30-Days-Of-JavaScript,44961,2019-12-23 14:07:40+00:00,2025-02-11 09:46:11+00:00,JavaScript,0,98,174,59,2070,193,0.3390804597701149
ColorlibHQ/AdminLTE,44943,2013-12-25 02:52:40+00:00,2025-08-20 14:08:12+00:00,CSS,77,1545,2887,2747,4259,3,0.9515067544163491
serhii-londar/open-source-mac-os-apps,44936,2017-11-03 02:35:33+00:00,2025-04-26 22:41:38+00:00,N/A,0,525,211,161,2850,118,0.7630331753554502
discourse/discourse,44883,2013-01-12 00:25:55+00:00,2025-08-23 08:26:23+00:00,Ruby,0,30081,0,0,4606,0,0.0
akullpp/awesome-java,44801,2014-07-09 10:12:43+00:00,2025-07-27 09:22:12+00:00,N/A,0,715,136,136,4063,27,1.0
oobabooga/text-generation-webui,44783,2022-12-21 04:17:37+00:00,2025-08-22 21:43:28+00:00,Python,80,1183,4005,1429,976,0,0.3568039950062422
ultralytics/ultralytics,44694,2022-09-11 16:39:45+00:00,2025-08-23 08:49:10+00:00,Python,258,3515,11662,11413,1077,0,0.978648602298062
meteor/meteor,44682,2012-01-19 01:58:17+00:00,2025-08-22 17:03:46+00:00,JavaScript,0,2537,9206,8947,4965,1,0.9718661742341951
dypsilon/frontend-dev-bookmarks,44653,2013-06-22 13:23:55+00:00,2024-05-21 10:56:58+00:00,N/A,1,129,107,82,4445,459,0.7663551401869159
Homebrew/brew,44609,2016-03-06 05:08:38+00:00,2025-08-23 20:21:40+00:00,Ruby,443,13012,4805,4788,3457,0,0.9964620187304891
unslothai/unsloth,44569,2023-11-29 16:50:09+00:00,2025-08-22 11:03:02+00:00,Python,16,481,2454,1737,633,1,0.7078239608801956
google/zx,44512,2021-05-05 05:50:01+00:00,2025-08-21 11:00:58+00:00,JavaScript,96,552,490,476,1571,2,0.9714285714285714
coollabsio/coolify,44501,2021-01-25 20:54:01+00:00,2025-08-23 16:51:19+00:00,PHP,619,1646,2797,2232,1670,0,0.7979978548444763
termux/termux-app,44376,2015-10-23 09:42:46+00:00,2025-08-22 19:52:32+00:00,Java,95,162,2926,2521,3592,1,0.8615857826384142
vercel/hyper,44196,2016-07-01 06:01:21+00:00,2024-08-14 03:32:57+00:00,TypeScript,88,3291,3814,2872,3340,374,0.7530152071316204
2dust/v2rayNG,44119,2019-05-15 02:15:31+00:00,2025-08-17 03:16:11+00:00,Kotlin,256,498,3418,3409,2292,6,0.997366881217086
isocpp/CppCoreGuidelines,44106,2015-08-19 20:22:52+00:00,2025-07-27 13:54:28+00:00,CSS,4,812,1211,964,3657,27,0.7960363336085879
parcel-bundler/parcel,43935,2017-08-07 16:36:47+00:00,2025-08-21 15:12:28+00:00,JavaScript,48,2591,5487,5009,2938,2,0.9128850009112448
run-llama/llama_index,43854,2022-11-02 04:24:54+00:00,2025-08-22 21:04:28+00:00,Python,405,7020,6618,6403,1025,0,0.9675128437594439
DovAmir/awesome-design-patterns,43821,2018-06-04 17:47:48+00:00,2024-10-25 19:57:00+00:00,N/A,0,30,15,5,2637,302,0.3333333333333333
LeCoupa/awesome-cheatsheets,43817,2017-11-09 02:47:15+00:00,2024-08-24 21:07:02+00:00,JavaScript,0,169,96,59,2844,363,0.6145833333333334
karpathy/nanoGPT,43795,2022-12-28 00:51:12+00:00,2024-12-09 23:53:04+00:00,Python,0,45,337,109,969,256,0.32344213649851633
usememos/memos,43793,2021-12-08 15:30:18+00:00,2025-08-19 13:57:38+00:00,Go,80,1796,2467,2442,1354,4,0.9898662342926632
astaxie/build-web-application-with-golang,43775,2012-08-02 11:49:35+00:00,2024-05-12 00:47:46+00:00,Go,0,757,304,183,4769,468,0.6019736842105263
acmesh-official/acme.sh,43748,2015-12-26 12:56:33+00:00,2025-08-19 02:05:37+00:00,Shell,44,1422,3318,2240,3528,4,0.6751054852320675
react-hook-form/react-hook-form,43721,2019-03-05 23:47:10+00:00,2025-08-19 23:02:58+00:00,TypeScript,585,2071,4835,4761,2362,3,0.9846949327817994
babel/babel,43703,2014-09-28 13:38:23+00:00,2025-08-22 20:50:32+00:00,TypeScript,442,6288,8996,8401,3982,0,0.933859493108048
microsoft/monaco-editor,43698,2016-06-07 16:56:31+00:00,2025-08-15 22:22:30+00:00,JavaScript,91,467,3834,3154,3364,7,0.8226395409494001
aymericdamien/TensorFlow-Examples,43696,2015-11-11 14:21:19+00:00,2024-07-26 19:46:13+00:00,Jupyter Notebook,0,88,237,70,3573,393,0.29535864978902954
square/retrofit,43687,2010-09-06 21:39:43+00:00,2025-08-22 18:33:54+00:00,HTML,4,1186,2748,2621,5464,1,0.9537845705967977
jeecgboot/JeecgBoot,43684,2018-11-26 10:40:00+00:00,2025-08-22 09:58:42+00:00,Java,61,122,7586,7558,2462,1,0.9963089902451885
FuelLabs/fuels-rs,43633,2021-10-31 22:33:54+00:00,2025-08-21 01:32:58+00:00,Rust,117,899,658,609,1391,2,0.925531914893617
FuelLabs/fuels-ts,43618,2021-09-03 18:11:03+00:00,2025-08-17 19:28:01+00:00,TypeScript,154,1969,1456,1398,1450,6,0.9601648351648352
prisma/prisma,43570,2019-06-20 13:33:47+00:00,2025-08-22 17:47:53+00:00,TypeScript,223,6351,11362,9050,2256,1,0.7965146981165288
grpc/grpc,43538,2014-12-08 18:58:53+00:00,2025-08-22 22:59:21+00:00,C++,355,20039,11794,11118,3911,0,0.9426827200271325
yangshun/front-end-interview-handbook,43462,2018-01-13 19:40:08+00:00,2025-08-20 11:59:10+00:00,MDX,0,346,101,91,2779,3,0.900990099009901
Leaflet/Leaflet,43458,2010-09-22 16:57:44+00:00,2025-08-19 19:53:46+00:00,JavaScript,33,3115,5278,4883,5449,4,0.925161045850701
streamich/react-use,43449,2018-10-27 10:16:05+00:00,2025-08-22 18:34:55+00:00,TypeScript,256,1532,598,244,2492,1,0.4080267558528428
metabase/metabase,43366,2015-02-02 19:25:47+00:00,2025-08-23 19:58:50+00:00,Clojure,678,34121,23069,19496,3855,0,0.8451168234427153
RocketChat/Rocket.Chat,43255,2015-05-19 07:36:09+00:00,2025-08-23 16:16:02+00:00,TypeScript,1000,14483,16354,13777,3749,0,0.8424238718356365
pyenv/pyenv,42972,2012-08-31 06:57:52+00:00,2025-08-23 18:54:10+00:00,Roff,132,975,1858,1805,4740,0,0.9714747039827771
GitSquared/edex-ui,42957,2017-01-28 09:35:02+00:00,2021-10-19 22:38:47+00:00,JavaScript,29,399,559,553,3129,1403,0.9892665474060823
FlowiseAI/Flowise,42917,2023-03-31 12:23:09+00:00,2025-08-23 18:00:24+00:00,TypeScript,73,1329,2251,1629,876,0,0.7236783651710351
jellyfin/jellyfin,42864,2018-12-09 06:36:45+00:00,2025-08-23 16:48:57+00:00,C#,91,4820,7281,6885,2449,0,0.9456118665018541
sudheerj/reactjs-interview-questions,42833,2018-05-31 17:17:01+00:00,2025-08-21 16:06:18+00:00,JavaScript,0,162,110,107,2641,2,0.9727272727272728
expo/expo,42609,2016-08-15 17:14:25+00:00,2025-08-23 19:20:29+00:00,TypeScript,0,17945,16989,16565,3295,0,0.9750426746718465
ggml-org/whisper.cpp,42606,2022-09-25 18:26:37+00:00,2025-08-18 17:30:50+00:00,C++,27,863,1749,832,1063,5,0.47570040022870214
coreybutler/nvm-windows,42509,2014-09-20 16:37:28+00:00,2025-03-31 10:37:07+00:00,Go,23,107,927,847,3990,145,0.9137001078748651
ClickHouse/ClickHouse,42491,2016-06-02 08:28:18+00:00,2025-08-23 20:10:12+00:00,C++,672,50455,25006,20553,3369,0,0.8219227385427498
Unitech/pm2,42476,2013-05-21 03:25:25+00:00,2025-06-05 09:16:23+00:00,JavaScript,128,551,5080,4078,4477,79,0.802755905511811
k88hudson/git-flight-rules,42422,2014-07-22 20:35:09+00:00,2025-04-11 22:26:43+00:00,N/A,0,225,75,55,4049,133,0.7333333333333333
opendatalab/MinerU,42378,2024-02-29 08:52:34+00:00,2025-08-22 11:21:21+00:00,Python,121,1026,1686,1553,541,1,0.9211150652431791
GokuMohandas/Made-With-ML,42307,2018-11-05 03:44:27+00:00,2024-08-18 04:34:15+00:00,Jupyter Notebook,0,147,74,58,2483,370,0.7837837837837838
coqui-ai/TTS,42211,2020-05-20 15:45:28+00:00,2024-08-16 12:07:14+00:00,Python,98,465,1191,1185,1921,372,0.9949622166246851
alex/what-happens-when,42191,2013-11-07 04:30:06+00:00,2024-08-19 13:02:25+00:00,N/A,0,108,292,53,4307,369,0.1815068493150685
Alamofire/Alamofire,42052,2014-07-31 05:56:19+00:00,2025-05-14 03:37:18+00:00,Swift,102,650,2800,2757,4041,101,0.9846428571428572
faif/python-patterns,41975,2012-06-06 21:02:35+00:00,2025-07-19 00:16:40+00:00,Python,0,273,93,83,4825,35,0.8924731182795699
astral-sh/ruff,41889,2022-08-09 17:17:44+00:00,2025-08-23 18:20:56+00:00,Rust,376,11192,7131,5621,1110,0,0.7882484924975459
Light-City/CPlusPlusThings,41867,2019-07-14 08:45:45+00:00,2024-06-14 01:58:36+00:00,C++,0,72,228,218,2232,435,0.956140350877193
getsentry/sentry,41794,2010-08-30 22:06:41+00:00,2025-08-22 23:16:15+00:00,Python,154,72741,15744,13593,5471,0,0.8633765243902439
apache/spark,41739,2014-02-25 08:00:08+00:00,2025-08-23 19:12:25+00:00,Scala,0,8,0,0,4197,0,0.0
apache/airflow,41696,2015-04-13 18:04:58+00:00,2025-08-23 18:40:51+00:00,Python,103,29387,12453,11178,3785,0,0.8976150325222838
iina/iina,41640,2016-12-19 07:18:45+00:00,2025-08-16 21:50:55+00:00,Swift,45,851,4186,2427,3169,6,0.5797897754419493
Stability-AI/stablediffusion,41611,2022-11-23 23:59:50+00:00,2025-06-25 14:18:37+00:00,Python,0,17,324,76,1003,59,0.2345679012345679
Kong/kong,41597,2014-11-17 23:56:08+00:00,2025-08-22 12:45:31+00:00,Lua,145,6478,4558,4490,3931,1,0.985081175954366
NaiboWang/EasySpider,41595,2020-07-18 02:41:27+00:00,2025-08-23 09:58:05+00:00,JavaScript,10,40,713,485,1862,0,0.6802244039270687
freqtrade/freqtrade,41580,2017-05-17 23:48:53+00:00,2025-08-21 05:15:45+00:00,Python,100,5895,5332,5305,3019,2,0.9949362340585146
yarnpkg/yarn,41558,2016-01-19 17:39:16+00:00,2025-08-22 21:04:32+00:00,JavaScript,152,1654,6606,4731,3504,0,0.7161671207992734
spf13/cobra,41526,2013-09-03 20:40:26+00:00,2025-08-11 13:58:23+00:00,Go,24,614,1212,986,4371,12,0.8135313531353136
tldraw/tldraw,41426,2021-05-09 11:48:37+00:00,2025-08-23 10:09:29+00:00,TypeScript,81,3557,1743,1516,1567,0,0.8697647733792312
mingrammer/diagrams,41372,2020-02-02 15:23:24+00:00,2025-08-23 14:40:37+00:00,Python,44,329,533,222,2029,0,0.4165103189493433
nolimits4web/swiper,41332,2012-03-14 19:11:45+00:00,2025-08-13 22:34:49+00:00,JavaScript,87,604,5752,5537,4910,9,0.9626216968011126
apachecn/ailearning,41301,2017-02-25 08:53:02+00:00,2024-11-12 16:21:55+00:00,Python,2,478,115,112,3101,284,0.9739130434782609
apache/dubbo,41241,2012-06-19 07:56:02+00:00,2025-08-20 07:37:30+00:00,Java,111,5786,7276,6476,4813,3,0.8900494777350192
bevyengine/bevy,41186,2020-01-18 21:13:55+00:00,2025-08-23 13:04:57+00:00,Rust,43,6204,7214,4831,2043,0,0.6696700859439978
bailicangdu/vue2-elm,41150,2016-12-23 01:49:20+00:00,2025-04-11 12:52:02+00:00,Vue,0,21,630,512,3165,134,0.8126984126984127
tw93/Pake,41148,2022-10-14 09:32:57+00:00,2025-08-23 12:49:46+00:00,JavaScript,32,100,403,385,1044,0,0.9553349875930521
zai-org/ChatGLM-6B,41114,2023-03-13 12:00:18+00:00,2024-06-27 04:05:25+00:00,Python,0,48,1308,751,894,422,0.5741590214067278
hpcaitech/ColossalAI,41108,2021-10-28 16:19:44+00:00,2025-08-18 09:10:00+00:00,Python,50,3699,1725,1298,1395,5,0.7524637681159421
1c7/chinese-independent-developer,41093,2017-09-21 11:08:23+00:00,2025-08-23 15:23:33+00:00,N/A,0,316,203,200,2893,0,0.9852216748768473
dcloudio/uni-app,41060,2018-07-12 08:52:39+00:00,2025-08-23 09:47:14+00:00,JavaScript,0,459,4924,4233,2599,0,0.8596669374492283
AykutSarac/jsoncrack.com,41059,2022-01-30 15:25:18+00:00,2025-08-22 17:58:28+00:00,TypeScript,22,85,266,234,1301,1,0.8796992481203008
streamlit/streamlit,41040,2019-08-24 00:14:52+00:00,2025-08-23 06:41:28+00:00,Python,105,5665,5400,4293,2191,0,0.795
nwjs/nw.js,41035,2012-01-04 06:21:10+00:00,2025-08-20 16:06:57+00:00,JavaScript,0,575,7399,6477,4980,3,0.8753885660224354
KRTirtho/spotube,41028,2021-02-14 03:17:58+00:00,2025-08-23 04:07:49+00:00,Dart,40,246,1864,1082,1651,0,0.5804721030042919
