repository,stars,creation_date,last_update_date,primary_language,total_releases,accepted_pull_requests,total_issues,closed_issues,repository_age_days,days_since_last_update,closed_issues_ratio
sdmg15/Best-websites-a-programmer-should-visit,72918,2017-03-05 20:25:17+00:00,2025-07-01 08:13:14+00:00,N/A,0,431,174,103,3093,53,0.5919540229885057
hacksider/Deep-Live-Cam,72670,2023-09-24 13:19:31+00:00,2025-08-11 13:37:45+00:00,Python,8,85,989,921,699,12,0.9312436804853387
nestjs/nest,72378,2017-02-04 20:12:52+00:00,2025-08-22 23:30:58+00:00,TypeScript,131,7412,5673,5644,3122,0,0.9948880662788648
microsoft/markitdown,72193,2024-11-13 19:56:40+00:00,2025-08-11 21:41:01+00:00,Python,14,147,323,69,283,11,0.21362229102167182
d2l-ai/d2l-zh,71872,2017-08-23 04:40:24+00:00,2024-07-30 09:32:19+00:00,Python,16,1019,0,0,2922,389,0.0
clash-verge-rev/clash-verge-rev,71599,2023-11-21 18:24:03+00:00,2025-08-23 17:33:12+00:00,TypeScript,50,321,3806,3690,641,0,0.9695218076720967
google-gemini/gemini-cli,71392,2025-04-17 17:04:31+00:00,2025-08-23 12:25:35+00:00,TypeScript,48,1950,3628,2336,128,0,0.6438809261300992
CompVis/stable-diffusion,71371,2022-08-10 14:36:44+00:00,2024-06-18 01:53:49+00:00,Jupyter Notebook,0,5,727,195,1109,431,0.26822558459422285
thedaviddias/Front-End-Checklist,70957,2017-10-16 10:12:36+00:00,2025-02-14 00:53:27+00:00,N/A,1,179,148,147,2868,190,0.9932432432432432
abi/screenshot-to-code,70777,2023-11-14 17:53:32+00:00,2025-07-27 20:51:24+00:00,Python,0,49,382,278,648,26,0.7277486910994765
redis/redis,70574,2009-03-21 22:32:25+00:00,2025-08-21 14:31:28+00:00,C,96,4162,6781,4629,5998,2,0.6826426780710809
moby/moby,70524,2013-01-18 18:10:57+00:00,2025-08-22 22:18:52+00:00,Go,237,21492,23125,19928,4600,0,0.8617513513513514
pallets/flask,70211,2010-04-06 11:11:59+00:00,2025-08-19 21:10:21+00:00,Python,37,1613,2692,2691,5618,3,0.99962852897474
ventoy/Ventoy,70077,2020-03-10 15:19:19+00:00,2025-08-18 16:13:54+00:00,C,105,280,2532,1671,1992,5,0.659952606635071
Developer-Y/cs-video-courses,69624,2016-10-21 17:02:11+00:00,2025-08-12 11:43:03+00:00,N/A,0,234,0,0,3228,11,0.0
grafana/grafana,69583,2013-12-11 15:59:56+00:00,2025-08-23 15:36:39+00:00,TypeScript,550,56803,40987,37496,4273,0,0.9148266523531852
